06:38:09 [INFO] Starting ZIM Audio Player
06:38:09 [INFO] Scanning directory for audio files...
06:38:14 [INFO] AIFF loaded: 88200 Hz, 1 channels, 18473472 samples, calculated duration: Some(209.449795918s)
06:38:14 [INFO] AIFF duration: 209.45 seconds
06:38:15 [INFO] Audio telemetry enabled for slew gate and VC control debugging
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.008->0.007 Δ-0.001 smooth:false] R[0.008->0.007 Δ-0.001 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.004 scaled:0.007 final:0.007 format:mono rate:88200Hz pos:11.1%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.115->0.103 Δ-0.011 smooth:true] R[0.115->0.103 Δ-0.011 smooth:true] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.053 scaled:0.105 final:0.105 format:mono rate:88200Hz pos:11.2%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.038->0.033 Δ-0.004 smooth:false] R[0.038->0.033 Δ-0.004 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.017 scaled:0.034 final:0.034 format:mono rate:88200Hz pos:11.2%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.016->0.016 Δ0.001 smooth:false] R[0.016->0.016 Δ0.001 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.008 scaled:0.017 final:0.017 format:mono rate:88200Hz pos:11.3%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.019->0.019 Δ0.000 smooth:false] R[0.019->0.019 Δ0.000 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.010 scaled:0.019 final:0.019 format:mono rate:88200Hz pos:11.3%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.031->0.030 Δ-0.001 smooth:false] R[0.031->0.030 Δ-0.001 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.015 scaled:0.030 final:0.030 format:mono rate:88200Hz pos:11.4%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.006->0.005 Δ-0.001 smooth:false] R[0.006->0.005 Δ-0.001 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.003 scaled:0.005 final:0.005 format:mono rate:88200Hz pos:11.4%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.001 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:11.5%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ-0.000 smooth:false] R[0.001->0.001 Δ-0.000 smooth:false] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:11.5%
06:38:39 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.184 Δ0.184 smooth:true] R[0.001->0.184 Δ0.184 smooth:true] decay:0.99
06:38:39 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.094 scaled:0.188 final:0.188 format:mono rate:88200Hz pos:11.6%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.097->0.087 Δ-0.010 smooth:true] R[0.097->0.087 Δ-0.010 smooth:true] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.044 scaled:0.089 final:0.089 format:mono rate:88200Hz pos:11.6%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.028->0.024 Δ-0.003 smooth:false] R[0.028->0.024 Δ-0.003 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.012 scaled:0.025 final:0.025 format:mono rate:88200Hz pos:11.7%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.019->0.020 Δ0.001 smooth:false] R[0.019->0.020 Δ0.001 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.010 scaled:0.020 final:0.020 format:mono rate:88200Hz pos:11.7%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.023->0.022 Δ-0.000 smooth:false] R[0.023->0.022 Δ-0.000 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.011 scaled:0.023 final:0.023 format:mono rate:88200Hz pos:11.8%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.005->0.004 Δ-0.001 smooth:false] R[0.005->0.004 Δ-0.001 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.002 scaled:0.004 final:0.004 format:mono rate:88200Hz pos:11.8%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:11.9%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:11.9%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ0.000 smooth:false] R[0.001->0.001 Δ0.000 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.000 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:12.0%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.015->0.017 Δ0.001 smooth:false] R[0.015->0.017 Δ0.001 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.008 scaled:0.017 final:0.017 format:mono rate:88200Hz pos:12.0%
06:38:40 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.019->0.019 Δ-0.000 smooth:false] R[0.019->0.019 Δ-0.000 smooth:false] decay:0.99
06:38:40 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.010 scaled:0.019 final:0.019 format:mono rate:88200Hz pos:12.1%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.015->0.014 Δ-0.001 smooth:false] R[0.015->0.014 Δ-0.001 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.007 scaled:0.014 final:0.014 format:mono rate:88200Hz pos:12.1%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.007->0.006 Δ-0.001 smooth:false] R[0.007->0.006 Δ-0.001 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.003 scaled:0.006 final:0.006 format:mono rate:88200Hz pos:12.2%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.162->0.155 Δ-0.007 smooth:false] R[0.162->0.155 Δ-0.007 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.079 scaled:0.158 final:0.158 format:mono rate:88200Hz pos:12.2%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.088->0.083 Δ-0.005 smooth:false] R[0.088->0.083 Δ-0.005 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.042 scaled:0.084 final:0.084 format:mono rate:88200Hz pos:12.3%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.048->0.047 Δ-0.001 smooth:false] R[0.048->0.047 Δ-0.001 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.024 scaled:0.047 final:0.047 format:mono rate:88200Hz pos:12.3%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.043->0.044 Δ0.001 smooth:false] R[0.043->0.044 Δ0.001 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.022 scaled:0.045 final:0.045 format:mono rate:88200Hz pos:12.4%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.005->0.004 Δ-0.001 smooth:false] R[0.005->0.004 Δ-0.001 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.002 scaled:0.004 final:0.004 format:mono rate:88200Hz pos:12.4%
06:38:41 [DEBUG] (1) zim::player::telemetry: AUDIO_LEVELS: L[0.001->0.001 Δ-0.000 smooth:false] R[0.001->0.001 Δ-0.000 smooth:false] decay:0.99
06:38:41 [DEBUG] (1) zim::player::telemetry: FORMAT_INFO: samples:1024 rms:0.001 scaled:0.001 final:0.001 format:mono rate:88200Hz pos:12.5%
06:38:41 [INFO] Audio telemetry disabled
